Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Jun H.,Im Joonhyun,임준현,준현,1991-08-28,UNVS,South Korea,,,M
Jun. K,Kim Minjun,김민준,준케이,1988-01-15,2PM,South Korea,Daegu,,M
Jungah,Kim Jungah,김정아,정아,1983-08-02,,South Korea,Incheon,,F
Junghoon,Lee Junghoon,이정훈,정훈,2000-07-04,1TEAM,South Korea,,,M
Junghun,Jang Junghun,장정훈,정훈,1999-02-27,Astin,South Korea,,,M
Junghwa,Park Junghwa,박정화,정화,1995-05-08,EXID,South Korea,Anyang,,F
Jungkook,Jeon Jungkook,전정국,정국,1997-09-01,BTS,South Korea,Busan,,M
Jungmo,Koo Jungmo,구정모,정모,2000-02-05,CRAVITY,South Korea,,,M
Jungshin,Lee Jungshin,이정신,정신,1991-09-15,CNBLUE,South Korea,,,M
Jungwoo,Kim Jungwoo,김정우,정우,1998-02-19,NCT,South Korea,,,M
Jungwoo,Uhm Jungwoo,엄정우,정우,1999-04-02,BVNDIT,South Korea,,,F
Junho,Lee Junho,이준호,준호,1990-01-25,2PM,South Korea,Ilsan,,M
Junho,Cha Junho,차준호,준호,2002-07-09,X1,South Korea,,,M
Junhyeok,Kim Junhyeok,임준혁,준혁,1993-07-17,,South Korea,,,M
Junhyuk,Choi Junhyuk,최준혁,준혁,1992-04-21,HOTSHOT,South Korea,Ulsan,,M
Junhyung,Yong Junyung,용준형,준형,1989-12-19,Highlight,South Korea,Seoul,,M
Junji,Kim Junhyung,김준형,준지,1998-04-06,OnlyOneOf,South Korea,,,M
Junkyu,Kim Junkyu,김준규,준규,2000-09-09,Treasure,South Korea,,,M
JunQ,Kang Junkyu,강준규,준규,1993-08-09,MYNAME,South Korea,Uljeongbu,,M
Junseo,Kim Junseo,김준서,준서,2001-11-20,1the9,South Korea,Ulsan,,M
Junwook,Kim Junwook,김준욱,준욱,2002-01-10,TheEastLight,South Korea,,,M
Junyoung,Lee Junyoung,이준영,준영,2000-09-23,IZ,South Korea,,,M
Juri,Takahashi Juri,타카하시 쥬리,쥬리,1997-10-03,Rocket Punch,Japan,,,F
Juyeon,Lee Juyeon,이주연,주연,1998-01-16,The Boyz,South Korea,,,M
K.Me,Na Miri,나미리,케이미,1992-04-10,BADKIZ,South Korea,Yeosu,,F
Kady,Gu Dokyoung,구도경,케이디,1995-04-07,Gate9,South Korea,Busan,,F
Kaeun,Lee Kaeun,이가은,가은,1994-08-20,After School,South Korea,Seoul,,F
Kahi,Park Jiyoung,박지영,가희,1980-12-25,,South Korea,Daegu,,F
Kai,Kim Jongin,김종인,카이,1994-01-14,EXO,South Korea,Suncheon,SuperM,M
Kain,Bang Junho,방준호,카인,1997-03-25,ARGON,South Korea,,,M
Kanghyun,Kang Hyungu,강현구,강현,1998-11-24,Onewe,South Korea,,,M
Kangin,Kim Youngwoon,김영운,강인,1985-01-17,,South Korea,Seoul,,M
Kangmin,Kim Kangmin,김강민,강민,2001-11-13,TRCNG,South Korea,,,M
Kangmin,Noh Kangmin,노강민,강민,1999-09-05,Romeo,South Korea,,,M
Kangmin,Yoo Kangmin,유강민,강민,2003-01-25,Verivery,South Korea,,,M
Karin,Min Karin,민가린,가린,2002-01-05,ELRIS,South Korea,,,F
Karin,Baek Yerin,백예린,카린,2000-04-23,CRAXY,South Korea,,,F
KB,Shin Kyubin,신규빈,규빈,1994-04-23,OnlyOneOf,South Korea,,,M
Kei,Kim Jiyeon,김지연,케이,1995-03-20,Lovelyz,South Korea,Incheon,,F
Keina,Lee Yoona,이유나,케이나,1999-02-12,H.U.B,South Korea,,,F
Ken,Lee Jaehwan,이재환,켄,1992-04-06,VIXX,South Korea,Seoul,,M
Kenta,Takada Kenta,타카다 켄타,켄타,1995-01-10,JBJ,Japan,Fujioka,,M
Keonhee,Lee Keonhee,김건희,건희,1998-06-27,Oneus,South Korea,,,M
Keumjo,Lee Keumjo,이금조,금조,1992-12-17,9Muses,South Korea,Daegu,9MUSES A,F
Kevin,Christopher Woo,크리스토퍼 우,케빈,1991-11-25,U-KISS,USA,Los Angeles,,M
Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,케빈,1988-02-23,ZE:A,South Korea,Sydney,,M
Kevin,Moon Hyungseo,문형서,케빈,1998-02-23,The Boyz,Canada,,,M
Key,Kim Kibum,김기범,키,1991-09-23,SHINee,South Korea,Daegu,Toheart,M
Kiara,Baek Jinjoo,백진주,키아라,1998-08-20,,South Korea,,,F
Kibum,Kim Kibum,김기범,기범,1987-08-21,,South Korea,Seoul,,M
Kichun,Hwang Kichun,황기천,기천,1992-03-14,,South Korea,,,M
Kid,Kim Junhoe,김준회,키드,1995-10-26,VARSITY,South Korea,,,M
Kidoh,Jin Hyosang,진효상,키도,1992-12-16,,South Korea,Seoul,,M
Kihyun,Yoo Kihyun,유기현,기현,1993-11-22,MONSTA X,South Korea,Goyang,,M
Kim Lip,Kim Jungeun,김정은,김립,1999-02-10,LOONA,South Korea,,Loona Odd Eye Circle,F
Kim Sanggyun,Kim Sanggyun,김상균,김상균,1995-05-23,JBJ95,South Korea,Gwangju,JBJ,M
Kim Sohee,Kim Sohee,김소희,김소희,1995-01-20,I.B.I,South Korea,Busan,C.I.V.A,F
Kim Yoon,Kim Seongsu,김성수,김윤,1994-02-17,DUSTIN,South Korea,,,M
Kino,Kang Hyungku,강형구,키노,1998-01-27,PENTAGON,South Korea,,,M
Kiseop,Lee Kiseop,이기섭,기섭,1991-01-17,U-KISS,South Korea,Seongnam,,M
Kisu,Choi Kisu,최기수,기수,1990-10-02,24K,South Korea,Seoul,,M
Kiwon,Lee Kiwon,이기원,기원,1996-06-27,GIDONGDAE,South Korea,,,M
Kokoro,Kato Kokoro,카토 코코로,코코로,2000-11-01,,Japan,,,F
Kongyeol,Go Minsoo,고민수,고결,1996-05-19,UP10TION,South Korea,Bucheon,,M
Kongyoo,Kong Yoojin,공유진,공유,2001-05-11,Bonus Baby,South Korea,,,F
Kookheon,Kim Kookheon,김국헌,국헌,1997-04-15,B.O.Y,South Korea,,,M
Kriesha Chu,Kriesha Ziskind Teo Tiu,크리샤 지스킨드 테오 티우,크리샤 츄,1998-12-20,,Philippines,Cebu,,F
Kris,Wu Yifan,오역범,크리스,1990-11-06,,Canada,Guangzhou,,M
Krystal,Krystal Jung,크리스탈 정,크리스탈,1994-10-24,f(x),South Korea,San Francisco,,F
Kuhn,Noh Sooil,노수일,쿤,1995-11-11,UP10TION,South Korea,Ansan,,M
Kun,Qian Kun,첸쿤,쿤,1996-01-01,NCT,China,,,M
Kwanghee,Hwang Kwanghee,황광희,광희,1988-08-25,ZE:A,South Korea,Paju,,M
Kwangjin,Kwon Kwangjin,권광진,광진,1992-08-12,N.Flying,South Korea,Seoul,,M
Kwangmin,Jo Kwangmin,조광민,광민,1995-04-24,Boyfriend,South Korea,Anyang,,M
Kyeongheon,Yoon Kyeongheon,윤경헌,경헌,1998-01-06,We In The Zone,South Korea,Suncheon,,M
Kyla,Kyla Massie,카일라 매시,카일라,2001-12-26,Pristin,USA,California,,F
Kyle,Ma Jaekyung,마재경,카일,1997-01-15,Romeo,South Korea,,,M
Kyuhwan,Lee Kyuhwan,이규환,규환,1994-09-18,SIGNAL,South Korea,,,M
Kyuhyuk,Shim Kyuhyuk,심규혁,규혁,1995-01-11,Hot Blood Youth,South Korea,,,M
Kyuhyun,Cho Kyuhyun,조규현,규현,1988-02-03,Super Junior,South Korea,Seoul,Super Junior-M,M
Kyulkyung,Zhou Jieqiong,저우제충,결경,1998-12-16,Pristin,China,Taizhou,"I.O.I, Pristin V",F
Kyungho,Jang Kyungho,장경호,경호,2001-05-07,TOO,South Korea,,,M
Kyungil,Song Kyungil,송경일,경일,1987-11-28,HISTORY,South Korea,,,M
Kyungri,Park Kyungri,박경리,경리,1990-07-05,9Muses,South Korea,Busan,9MUSES A,F
Kyungyoon,Lee Kyungyoon,이경윤,경윤,2000-02-21,Dongkiz,South Korea,,,M
L,Kim Myungsoo,김명수,엘,1992-03-13,Infinite,South Korea,Seoul,Infinite F,M
L.Joe,Lee Byunghun,이병헌,엘조,1993-11-23,Teen Top,South Korea,Gunsan,,M
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,2001-09-23,Wanna One,Taiwan,New Taipei,,M
Laon,Shin Kyuhyun,신규현,라온,1995-12-19,ENOi,South Korea,,,M
Lara,Moon Shinae,문신애,라라,2000-08-09,Dreamnote,South Korea,,,F
Laun,Kim Minseok,김민석,라운,1999-08-12,,South Korea,Seongsan,,M
Lay,Zhang Yixing,장이씽,레이,1991-10-07,EXO,China,Changsa,,M
Layeon,Lee Jimin,이지민,라연,1998-08-13,Purplebeck,South Korea,,,F
LE,Ahn Hyejin,안효진,엘리,1991-12-10,EXID,South Korea,Cheonan,,F
Lea,Ogawa Mizuki,오가와 미즈키,레아,1995-08-12,SECRET NUMBER,Japan,Tokyo,,F
Lee Haein,Lee Haein,이해인,이해인,1992-07-04,I.B.I,South Korea,Changwon,,F
Lee Hoo,Moon Junyoung,문준영,,1989-02-09,ZE:A,South Korea,Seoul,,M
Lee Joon,Lee Changseon,이창선,이준,1988-02-07,,South Korea,Seoul,,M
Lee Know,Lee Minho,이민호,리노,1998-10-25,Stray Kids,South Korea,Gimpo,,M
Lee Suhyun,Lee Suhyun,이수현,이수현,1996-11-05,I.B.I,South Korea,Ansan,,F
Leedo,Kim Geonhak,김건학,이도,1997-07-26,Oneus,South Korea,,,M
Leeteuk,Park Jeongsu,박정수,이특,1983-07-01,Super Junior,South Korea,Seoul,,M
Lena,Kang Rena,강레나,레나,2002-04-17,GWSN,South Korea,,,F
Leo,Jung Taekwon,정택운,레오,1990-11-10,VIXX,South Korea,Seoul,VIXX LR,M
Lex,Jeon Hyungmin,전형민,렉스,1993-01-12,Bigflo,South Korea,,,M
Lia,Choi Jisu,최지수,리아,2000-07-21,ITZY,South Korea,,,F
Lime,Kim Hyerim,김혜림,라임,1993-01-19,Hello Venus,South Korea,,,F
Lin Lin,Huang Ziting,황자정,린린,2003-07-05,,Taiwan,,,F
Lina,Oh Sejin,오세진,리나,1997-07-27,ANS,South Korea,,,F
Lina,Oh Hyesoo,오혜수,리나,1997-05-23,RedSquare,South Korea,,,F
Linzy,Im Minji,임민지,린지,1989-10-22,Fiestar,South Korea,Incheon,,F
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,1997-03-27,BLACKPINK,Thailand,Bangkok,,F
Liyah,Moon Liya,문리야,리야,2000-05-11,MIXX,South Korea,,,F
Lizzy,Park Sooyoung,박수영,리지,1992-07-31,After School,South Korea,Busan,Orange Caramel,F
Loha,Kang Yejin,강예진,로하,2001-12-27,Nature,South Korea,,,F
Longguo,Jin Longguo,진룽궈,룽궈,1996-03-02,JBJ,China,Heilong,,M
Lou,Kim Hosung,김호성,로우,1996-12-21,VAV,South Korea,,,M
Loudi,Won Jihoon,원지훈,로우디,1996-04-13,14U,Indonesia,,,M
Love,Park Jisung,박지성,러브,1994-01-17,OnlyOneOf,South Korea,,,M
Lu,Im Hayoung,임하영,루,1997-12-03,NATURE,South Korea,,,F
LuA,Jo Hankyeung,조한경,루아,1991-09-14,BADKIZ,South Korea,Busan,,F
Lua,Kim Sookyung,김수경,루아,2000-10-06,Weki Meki,South Korea,,,F
Lucas,Wong Junghei,웡육헤이,루카스,1999-01-25,NCT,Hong Kong,,SuperM,M
Lucy,Noh Hyojung,노효정,루시,2002-08-31,Weki Meki,South Korea,Goyang,,F
Lucy,Kim Daeun,김대은,루시,2004-04-09,woo!ah!,South Korea,,,F
Luda,Lee Luda,이루다,루다,1997-03-06,Cosmic Girls,South Korea,Seoul,WJMK,F
Luha,Lee Gyeonghun,이경훈,루하,1993-02-15,14U,South Korea,,,M
Luhan,Lu Han,루한,루한,1990-04-20,,China,Haidian,,M
Luna,Park Sunyoung,박선영,루나,1993-08-12,f(x),South Korea,Seoul,,F
Manny,Syo Dongchun,쇼동청,만니,2001-11-17,VARSITY,China,,,M
Marco,Lee Hyunggeun,이형근,마르코,1994-05-11,Hot Blood Youth,South Korea,,,M
Mark,Mark Lee,마크 리,마크,1999-08-02,NCT,Canada,Vancouver,"NCT U, NCT 127, NCT Dream, SuperM",M
Mark,Mark Yien Tuan,마크 이엔 투안,마크,1993-09-04,GOT7,USA,Los Angeles,,M
Mashiho,Takata Mashiho,타카타 마시호,마시호,2001-03-25,Treasure,Japan,,,M
Max Changmin,Shin Changmin,심창민,최강창민,1988-02-18,TVXQ,South Korea,Seoul,,M
May,Jeong Chaeyoung,정채영,메이,2001-07-27,NeonPunch,South Korea,,,F
May,Hirokawa Mao,히로카와 마오,메이,2004-11-16,Cherry Bullet,Japan,,,F
Medic Jin,Bae Yujin,배유진,메딕진,1996-08-08,Girlkind,South Korea,,,F
Meiqi,Meng Meiqi,멍메이치,미기,1998-10-15,Cosmic Girls,China,Luoyang,,F
Mia,Son Hyunmi,손현미,미아,1997-12-31,MIXX,South Korea,,,F
Mia,Han Eunji,한은지,미아,2000-01-13,Everglow,South Korea,,,F
Mijoo,Lee Mijoo,이미주,미주,1994-09-23,Lovelyz,South Korea,Okcheon,,F
Miko,Matsuda Miko,마츠다 미코,미코,1995-10-28,Honey Popcorn,Japan,,,F
Mill,Lee Yongsoo,이용수,밀,1999-03-30,OnlyOneOf,South Korea,,,M
Milo,Kim Minhak,김민학,마일로,1996-08-20,Romeo,South Korea,,,M
Mimi,Jung Mimi,정미미,미미,1993-01-01,Gugudan,South Korea,,,F
Mimi,Kim Mihyun,김미현,미미,1995-05-01,Oh My Girl,South Korea,Jeju,,F
Min,Lee Minyoung,이민영,민,1991-06-21,miss A,South Korea,Seoul,,F
Min,Lee Mincheon,이민천,민,1997-10-16,We In The Zone,South Korea,Seoul,,M
Mina,Kwon Mina,권민아,민아,1993-09-21,,South Korea,Busan,,F
Mina,Myoui Mina,묘이 미나,미나,1997-03-24,Twice,Japan,San Antonio,,F
Mina,Kang Mina,강미나,미나,1999-12-04,Gugudan,South Korea,Icheon,Gugudan Oguogu,F
Minah,Bang Minah,방민아,민아,1993-05-13,Girl's Day,South Korea,Incheon,,F
Minchan,Hong Minchan,홍민찬,민찬,1998-09-16,Verivery,South Korea,,,M
Mingi,Son Mingi,송민기,민기,1999-08-09,ATEEZ,South Korea,,,M
Mingyu,Kim Mingyu,김민규,민규,1997-04-06,Seventeen,South Korea,Anyang,,M
Minha,Park Minha,박민하,민하,1991-06-27,,South Korea,Seoul,,F
Minhee,Joo Minhee,주민희,민희,1993-01-03,Stellar,South Korea,Seoul,,F
Minhee,Kang Minhee,강민희,민희,2002-09-17,X1,South Korea,,,M
Minhee,Kang Minhee,강민희,민희,2002-09-17,CRAVITY,South Korea,,,M
Minho,Choi Minho,최민호,민호,1991-12-09,SHINee,South Korea,Incheon,,M
Minhwan,Choi Minhwan,최민환,민환,1992-09-11,FTISLAND,South Korea,Seoul,,M
Minhyuk,Lee Minhyuk,이민혁,민혁,1990-11-29,BtoB,South Korea,Seoul,,M
Minhyuk,Lee Minhyuk,이민혁,민혁,1993-11-03,MONSTA X,South Korea,,,M
Minhyuk,Kang Minhyuk,강민혁,민혁,1991-06-28,CNBLUE,South Korea,Ilsan,,M
Minhyuk,Kim Minhyuk,김민혁,민혁,1999-11-06,D-CRUNCH,South Korea,,,M
Minhyun,Hwang Minhyun,황민현,민현,1995-08-09,NU'EST,South Korea,Busan,NU'EST,M
Mini,,,민이,2000-06-12,Purplebeck,South Korea,,,F
Minjae,Seong Minjae,성민재,민재,1994-12-18,Sonamoo,South Korea,Busan,,F
Minjae,Shin Minjae,신민재,민재,1991-08-13,Tahiti,South Korea,Busan,,F
Minjae,Jo Minjae,조민재,민재,1994-08-08,Spectrum,South Korea,,,M
Minjae,Song Minjae,송민재,민재,2003-08-23,MCND,South Korea,,,M
Minji,Kim Minji,김민지,민지,2001-01-16,Busters,South Korea,,,F
Minjoo,Kim Minjoo,김민주,민주,2001-02-05,IZ*ONE,South Korea,Seoul,,F
Minju,Kang Minjoo,강민주,민주,2001-03-11,GWSN,South Korea,,,F
Minjung,Cha Minjung,차민정,민정,2004-07-15,,South Korea,,,F
Minkyung,Kang Minkyung,강민경,민경,1990-08-03,Davichi,South Korea,Goyang,,F
Minnie,Nicha Yontararak,니차 욘타라락,민니,1997-10-23,(G)I-DLE,Thailand,,,F
Mino,Song Minho,송민호,민호,1993-03-30,WINNER,South Korea,Yongin,,M
Minpyo,Gook Minpyo,국민표,민표,1994-11-15,B.I.G,South Korea,Gwangju,,M
Minseo,Kim Minseo,김민서,민서,2004-08-12,woo!ah!,South Korea,,,F
Minsu,Park Minsu,김민수,민수,1993-04-15,Boys Republic,South Korea,Gwangju,,M
Minsu,Kim Minsu,김민수,민수,2000-03-20,TOO,South Korea,,,M
Minsung,Kim Minhwi,김민휘,민성,1996-12-24,Romeo,South Korea,,,M
Minwoo,No Minwoo,노민우,민우,1995-07-31,Boyfriend,South Korea,Anyang,,M
Minwoo,Ha Minwoo,하민우,민우,1990-09-06,ZE:A,South Korea,Yangsan,,M
Minwoo,Seo Minwoo,서민우,민우,1985-02-08,100%,South Korea,Daegu,,M
Minyoung,Kim Minyeong,김민영,민영,1990-09-12,Brave Girls,South Korea,Seongnam,,F
Minzy,Kong Minji,공민지,민지,1994-01-18,2NE1,South Korea,,,F
Mir,Bang Cheolyong,방철용,미르,1991-03-10,MBLAQ,South Korea,Bukhamyeon,,M
Mir,Lee Yoonsang,이윤상,미르,2000-03-06,Astin,South Korea,,,M
Mirae,Kim Kyungjoo,김경주,미래,1998-03-26,,South Korea,,,F
Miryo,Jo Mihye,조미혜,미료,1981-11-02,Brown Eyed Girls,South Korea,,,F
Miso,Park Miso,박미소,미소,1991-04-04,Tahiti,South Korea,Gwangju,,F
Miso,Park Jihyun,박지현,미소,1996-09-16,P.O.P,South Korea,Busan,,F
Miso,Jeon Jimin,전지민,미소,2000-10-25,Dreamnote,South Korea,,,F
Miya,Miyauchi Haruka,미야우치 하루카,미야,1993-05-26,GWSN,Japan,,,F
Miyeon,Jo Miyeon,조미연,미연,1997-01-31,(G)I-DLE,South Korea,,,F
MJ,Kim Myungjun,김명준,엠제이,1994-03-05,ASTRO,South Korea,Nowon,,M
MK,Park Minkyun,박민균,엠케이,1995-11-16,ONF,South Korea,Ilsan,,M
Moko,Sakura Moko,사쿠라 모코,모코,1991-03-19,Honey Popcorn,Japan,,,F
Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,Japan,Kyoto,,F
Monday,Kim Jimin,김지민,먼데이,2002-05-10,Weeekly,South Korea,,,F
Monika,Kang Yeh,강예,모니카,1991-05-21,BADKIZ,South Korea,Seoul,,F
Moon Bin,Moon Bin,문빈,문빈,1998-01-26,ASTRO,South Korea,Cheongju,,M
Moonbyul,Moon Byulyi,문별이,문별,1992-12-22,Mamamoo,South Korea,Bucheon,,F
Moonhee,Choi Moonhee,최문희,문희,1997-04-15,Bonus Baby,South Korea,,,F
Moonvok,Jang Moonvok,장문복,문복,1995-04-11,Limitless,South Korea,,,M
Munik,Jang Moonik,장문익,문익,2001-03-20,Dongkiz,South Korea,,,M
N,Cha Hakyeon,차학연,엔,1990-06-30,VIXX,South Korea,Changwon,Big Byung,M
Nada,Yoon Yejin,윤예진,나다,1991-05-24,,South Korea,,,F
Naeun,Son Naeun,손나은,나은,1994-02-10,Apink,South Korea,Seoul,,F
Naeun,Lee Naeun,이나은,나은,1999-05-05,APRIL,South Korea,Daejeon,,F
Nahyun,Kim Nahyun,김나현,나현,1995-12-09,Sonamoo,South Korea,Seoul,,F
Nako,Yabuki Nako,야부키 나코,나코,2001-06-18,IZ*ONE,Japan,Tokyo,,F
Nakta,Shin Yooncheol,신윤철,낙타,1993-04-24,,South Korea,Daegu,,M
Nakyung,Lee Nakyung,이나경,나경,2000-06-01,fromis_9,South Korea,Mungyeong,,F
Namjoo,Kim Namjoo,김남주,남주,1995-04-15,Apink,South Korea,Seoul,,F
Nana,Im Jinah,임진아,나나,1991-09-14,After School,South Korea,Cheongju,Orange Caramel,F
Nana,Kwon Nayeon,권나연,우연,2001-03-09,woo!ah!,South Korea,,,F
Nancy,Nancy Mcdonie,낸시 맥다니,낸시,2000-04-13,MOMOLAND,South Korea,Daegu,,F
Nara,Kwon Nara,권나라,나라,1991-03-13,Hello Venus,South Korea,Seongnam,,F
Narachan,Jung Hyunwoo,정현우,나라찬,1996-09-23,MONT,South Korea,,,M
Narae,Park Narae,박나래,나래,1988-02-23,SPICA,South Korea,Incheon,SPICA-S,F
Nari,Kim Nari,김나리,나리,1992-10-05,Wassup,South Korea,,,F
Narsha,Park Hyojin,박효진,나르샤,1981-12-28,Brown Eyed Girls,South Korea,,,F
Nayeon,Im Nayeon,임나연,나연,1995-09-22,Twice,South Korea,Seoul,,F
Nayoung,Kim Nayoung,김나영,나영,1995-11-23,Gugudan,South Korea,,,F
Nayoung,Im Nayoung,임나영,나영,1995-12-18,Pristin,South Korea,Chungcheongham,"I.O.I, Pristin V",F
Nayun,Kim Nayun,김나윤,나윤,1998-07-31,MOMOLAND,South Korea,Seoul,,F
NC.A,Im Soeun,임소은,앤씨아,1996-10-07,UNI.T,South Korea,Osan,,F
New,Choi Chanhee,최찬희,뉴,1998-04-26,The Boyz,South Korea,Jeonju,,M
New Sun,Choi Yoonsun,최윤선,뉴썬,1997-06-19,Sonamoo,South Korea,,,F
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,1988-06-24,2PM,Thailand,California,,M
Nicole,Nicole Jung,정니콜,니콜,1991-10-07,,South Korea,Los Angeles,,F
Niel,Ahn Daniel,안다니엘,니엘,1994-08-16,Teen Top,South Korea,Anyang,,M
Nine,Jung Wookjin,정욱진,나인,1999-12-13,OnlyOneOf,South Korea,,,M
Noeul,No Eul,노을,노을,1989-05-10,Rainbow,South Korea,Jeonju,,F
O.V,Kim Sanchan,김상찬,오뷔,1999-01-03,D-CRUNCH,South Korea,,,M
Olivia Hye,Son Hyeju,손혜주,올리비아 혜,2001-11-13,LOONA,South Korea,,Loona yyxy,F
Onda,Jo Selim,조세림,온다,2000-05-18,Everglow,South Korea,,,F
Onejunn,Jo Wonjun,조원준,원준,1988-11-22,Boys Republic,South Korea,Changwon,,M
Onew,Lee Jinki,이진기,온유,1989-12-14,SHINee,South Korea,Gwangmyeong,,M
P-Goon,Park Sehyuk,박세혁,피군,1991-10-18,,South Korea,Seoul,,M
P.O,Pyo Jihoon,표지훈,피오,1993-02-02,Block B,South Korea,Seoul,Bastarz,M
Park Kyung,Park Kyung,박경,박경,1992-07-08,Block B,South Korea,Seoul,,M
Peniel,Shin Donggeun,신동근,프니엘,1993-03-10,BtoB,South Korea,Chicago,,M
PSY,Park Jaesang,박재상,싸이,1977-12-31,,South Korea,Seoul,,M
Q,Ji Changmin,지창민,큐,1998-11-05,The Boyz,South Korea,,,M
Qri,Lee Jihyun,이지현,큐리,1986-12-12,T-ara,South Korea,Goyang,,F
Rachel,Sung Nayeon,성나연,레이첼,2000-08-28,APRIL,South Korea,,,F
Rain,Jung Jihoon,정지훈,비,1982-06-25,,South Korea,Seosan,,M
Raina,Oh Hyerin,오혜린,레이나,1989-05-07,After School,South Korea,Ulsan,Orange Caramel,F
Raon,Lee Seoyoung,이서영,라온,2000-01-21,ANS,South Korea,,,F
Ravi,Kim Wonsik,김원식,라비,1993-02-15,VIXX,South Korea,Seoul,VIXX LR,M
Ravn,Kim Yoongjo,김영조,레이븐,1995-09-02,Oneus,South Korea,,,M
Raychan,Lee Heechan,이휘찬,레이찬,1996-04-18,Limitless,South Korea,,,M
Red,Lee Heejin,이희진,빨강,1991-07-10,Pungdeng-E,South Korea,Daegu,,F
Remi,Katsuno Rise,카츠노 리세,레미,2001-04-26,Cherry Bullet,Japan,,,F
Ren,Choi Minki,최민기,렌,1995-11-03,NU'EST,South Korea,Busan,NU'EST W,M
Rena,Kang Yebin,강예빈,레나,1998-10-19,Hinapia,South Korea,,Pristin V,F
Renjun,Hwang Renjun,황런쥔,런쥔,2000-03-23,NCT,China,Jilin,NCT Dream,M
Ricky,Yoo Changhyun,유창현,리키,1995-02-27,Teen Top,South Korea,Seoul,,M
Rie,Lee Seungho,이성호,리에,1996-11-06,OnlyOneOf,South Korea,,,M
Riho,Jin Seungwook,진승욱,리호,1998-03-01,VARSITY,South Korea,Incheon,,M
Rina,Kang Soeun,강소은,리나,2001-09-27,Weki Meki,South Korea,,,F
Rio,Son Gwanghyuk,손광혁,리오,1999-07-16,14U,South Korea,,,M
RM,Kim Namjoon,김남준,알엠,1994-09-12,BTS,South Korea,Ilsan,,M
Roa,Kim Minkyung,김민경,로아,1997-07-29,Hinapia,South Korea,,Pristin V,F
Rocky,Park Minhyuk,박민혁,라키,1999-02-25,ASTRO,South Korea,Jinju,,M
Roda,Shin Joongmin,신중민,로다,1998-09-19,MONT,South Korea,,,M
Roel,Kim Sunho,김선호,로엘,1997-02-13,ARGON,South Korea,,,M
Rokhyun,Kim Rokhyun,김록현,록현,1991-02-10,100%,South Korea,Suncheon,,M
Ron,Cheon Byeonghwa,천병화,론,1991-01-22,Bigflo,South Korea,,,M
Ros?,Roseanne Park,로잔느 박,로제,1997-02-11,BLACKPINK,South Korea,Auckland,,F
Rowoon,Kim Seokwoo,김석우,로운,1996-08-07,SF9,South Korea,,,M
Royeon,Jeon Hyunjoo,전현주,로연,1998-02-20,ANS,South Korea,,,F
Rubin,Lee Haejoon,이해준,루빈,1995-08-16,1TEAM,South Korea,,,M
Rui,Watanabe Rui,와타나베 루이,루이,1994-10-08,H.U.B,Japan,,,F
Ryeowook,Kim Ryeowook,김려욱,려욱,1987-06-21,Super Junior,South Korea,Incheon,Super Junior-M,M
Ryujin,Shin Ryujin,신류진,류진,2001-04-17,ITZY,South Korea,,,F
S.Coups,Choi Seungcheol,최승철,에스.쿱스,1995-08-08,Seventeen,South Korea,Daegu,,M
Saebom,Kim Saerok,김새록,새봄,1997-01-30,NATURE,South Korea,,,F
Saebom,Kim Seyoung,김세영,새봄,1995-01-13,Favorite,South Korea,Gwacheon,,F
Saebyeok,Shim Jaeyoung,심재영,새벽,1996-11-09,Ho1iday,South Korea,,,F
Saebyeol,Han Saebyeol,한새별,새별,1996-05-23,Matilda,South Korea,,,F
Saerom,Lee Saerom,이새롬,새롬,1997-01-07,fromis_9,South Korea,Gangwon,,F
Sakang,Jeon Sakang,정사강,사강,2002-10-26,TheEastLight,South Korea,,,M
Sakura,Miyawaki Sakura,미야와키 사쿠라,사쿠라,1998-03-19,IZ*ONE,Japan,Kagoshima,,F
Sally,Liu Xiening,류셰닝,샐리,1996-10-23,Gugudan,China,Guangdong,,F
Samuel,Kim Samuel,김사무엘,사무엘,2002-01-17,,South Korea,Los Angeles,,M
San,Choi San,최산,산,1999-07-10,ATEEZ,South Korea,,,M
Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,Osaka,,F
Sandeul,Lee Junghwan,이정환,산들,1992-03-20,B1A4,South Korea,Busan,,M
Sanga,Lee Sanga,이상아,상아,1999-08-05,Pink Fantasy,South Korea,,,F
Sangdo,Yoo Sangdo,유상도,상도,1993-03-02,Topp Dogg,South Korea,Incheon,,M
Sangho,Jo Sangho,조상호,상호,1995-02-10,SNUPER,South Korea,Changwon,,M
Sanghoon,Lee Sanghoon,이상훈,상훈,1993-12-23,,South Korea,Cheongju,,M
Sangil,Shim Sangil,심상일,상일,1993-05-01,SNUPER,South Korea,Seoul,,M
Sangmin,Kim Sangmin,김상민,상민,1992-07-07,CROSS GENE,South Korea,Jinju,,M
Sangyeon,Lee Sangyeon,이상연,상연,1996-11-04,The Boyz,South Korea,,,M
