;;;   
;;;   The lexicon was taken from Brill's rule based tagger v1.14,
;;;   trained on Brown corpus and Penn Treebank.
;;;   
;;;   Eric Brill (1992). A simple rule-based part of speech tagger.
;;;   In Proceedings of the workshop on Speech and Natural Language (pp. 112-116).
;;;   Association for Computational Linguistics.
;;;   
;;;   Copyright 1993 by the Massachusetts Institute of Technology and the
;;;   University of Pennsylvania. All rights reserved. MIT license.
;;;   
;;;   Additional words were added from the Twitter Part-of-Speech Annotated Data,
;;;   available under the Creative Commons Attribution 3.0 Unported license ("CC-BY").
;;;   Carnegie Mellon University. http://www.ark.cs.cmu.edu/TweetNLP
;;;   
;;;   Kevin Gimpel, Nathan Schneider, Brendan O'Connor, et al. (2011).
;;;   Part-of-Speech Tagging for Twitter: Annotation, Features, and Experiments.
;;;   In Proceedings of the Annual Meeting of the ACL, Portland, OR, June 2011.
;;;   
! .
!! .
!!! .
!!!! .
!!!!! .
!!!!!! .
!!!!!!! .
!!!!!!!! .
!. .
!? .
" "
# #
#1 CD
#2 CD
#GLEE NNP
#Glee NNP
#celtics NNPS
#fail NN
#fb NNP
#glee NNP
#howcome VB
#lakers NNPS
#shoutout NN
#teamceltics NNPS
#teamlakers NNPS
#win NN
displaced VBN
displacement NN
displaces VBZ
displacing NN
display NN
displayed VBN
displaying VBG
displays NNS
displeased VBN
displeases VBZ
displeasure NN
disposable JJ
disposables NNS
disposal NN
disposals NNS
dispose VB
disposed VBN
disposes VBZ
disposing VBG
disposition NN
dispositions NNS
dispossessed VBN
dispossession NN
disppointed JJ
disproportionally RB
disproportionate JJ
disproportionately RB
disprove VB
disproving VBG
disputable JJ
dispute NN
dispute-settlement JJ
disputed VBN
disputes NNS
disqualification NN
disqualified VBN
disqualify VB
disquiet NN
disquieting JJ
disquietude NN
disquisition NN
disregard NN
disregarded VBD
disregarding VBG
disrepair NN
disreputable JJ
disrepute NN
disrespect NN
disrobe VB
disrupt VB
disrupted VBN
disrupting VBG
disruption NN
disruptions NNS
disruptive JJ
disrupts VBZ
dissatisfaction NN
dissatisfactions NNS
dissatisfied JJ
dissected VBD
dissecting VBG
dissection NN
dissects VBZ
dissembling VBG
disseminate VB
disseminated VBN
disseminates VBZ
disseminating VBG
dissemination NN
dissension NN
dissensions NNS
dissent NN
dissented VBD
dissenter NN
dissenters NNS
dissenting JJ
dissents NNS
disseration NN
disservice NN
dissident JJ
dissident-shareholder NN
dissidents NNS
dissidents. NN
dissimilar JJ
dissimiliar JJ
dissimulation NN
dissipate VB
dissipated VBN
dissipates VBZ
dissipating VBG
dissociate VB
dissociated VBN
dissociates VBZ
dissociating VBG
dissociation NN
dissolution NN
dissolutions NNS
dissolve VB
dissolved VBN
dissolves VBZ
dissolving VBG
dissonance NN
dissonances NNS
dissuade VB
dissuaded VBD
distal JJ
distance NN
distances NNS
distancing VBG
distant JJ
distantly RB
distaste NN
distasteful JJ
distastefully RB
distate NN
distension NN
distil VB
distillates NNS
distillation NN
distilled VBN
distiller NN
distilleries NNS
distillers NNS
distillery NN
distilling VBG
distills VBZ
distinct JJ
distinction NN
distinctions NNS
distinctive JJ
distinctively RB
distinctiveness NN
distinctly RB
distinguish VB
distinguishable JJ
distinguished VBN
distinguishes VBZ
distinguishing VBG
distort VB
distortable JJ
distorted VBN
distorting VBG
distortion NN
distortions NNS
distorts VBZ
distract VB
distracted VBN
distractedly RB
distracting VBG
distraction NN
distractions NNS
distraught JJ
distress NN
distressed JJ
distresses NNS
distressing JJ
distressingly RB
distributable JJ
distribute VB
distributed VBN
distributer NN
distributes VBZ
distributing VBG
distribution NN
distributions NNS
distributive JJ
distributor NN
distributors NNS
distributorship NN
district NN
district-by-district RB
district-court NN
district\/state NN
districting NN
districts NNS
districts\/states NNS
distrubition NN
distrust NN
distrusted VBN
distrusts VBZ
disturb VB
disturbance NN
disturbances NNS
disturbed VBN
disturber NN
disturbing JJ
disturbingly RB
disturbs VBZ
disulfide NN
disunion NN
disunited VBN
disunity NN
disused JJ
ditch NN
ditched VBD
ditcher NN
ditches NNS
dites FW
dither NN
dithering VBG
dithers VBZ
ditties NNS
ditto NN
ditty NN
diuretic NN
diuretics NNS
diurnal JJ
diva NN
divan NN
divan-like JJ
divans NNS
dive NN
dived VBD
diver NN
diverge VB
divergence NN
divergent JJ
diverging VBG
divers NNS
diverse JJ
diversifed VBN
diversification NN
diversifications NNS
diversified JJ
diversify VB
diversifying VBG
diversion NN
diversionary JJ
diversions NNS
diversities NNS
diversity NN
divert VB
diverted VBN
diverticulitis NN
divertimento JJ
diverting VBG
dives NNS
divest VB
divested VBN
divesting VBG
divestiture NN
divestiture-related JJ
divestitures NNS
divestment NN
divide VB
divided VBN
dividend NN
dividend-capture NN
dividend-related JJ
dividends NNS
divider NN
divides VBZ
dividing VBG
divination NN
divine JJ
divinely RB
diving VBG
divining VBG
divinities NNS
divinity NN
divisible JJ
division NN
division. NN
divisional JJ
divisions NNS
divisive JJ
divisiveness NN
divorce NN
divorced VBN
divorcee NN
divorces NNS
divulge VB
divulging VBG
divvied VBN
divvying VBG
dizzily RB
dizziness NN
dizzy JJ
dizzying JJ
do VBP
do-everything JJ
do-good JJ
do-gooder JJ
do-gooders NNS
do-it-yourself JJ
do-nothing JJ
do-or-die JJ
doable JJ
doan VBP
doble NN
doc NN
docile JJ
docilely RB
dock NN
dock-siders NNS
docked VBN
docket NN
docketed VBN
dockets NNS
docks NNS
dockside NN
dockworkers NNS
dockyards NNS
docters NNS
doctor NN
doctor-oriented JJ
doctor-originated JJ
doctor-patient JJ
doctoral JJ
doctorate NN
doctorates NNS
doctored VBN
doctoring NN
doctors NNS
doctrinaire JJ
doctrinal JJ
doctrinally RB
doctrine NN
doctrines NNS
docudrama NN
docudramas NNS
document NN
documentaries NNS
documentary NN
documentary-type JJ
documentation NN
documented VBN
documenting VBG
documents NNS
docutainment NN
doddering JJ
dodge VBP
dodged VBD
dodging VBG
doe NN
doer NN
doers NNS
does VBZ
doesn't VBZ
doesnt VBZ
doffing VBG
dog NN
dog-and-pony NN
dog-eared JJ
dog-eat-dog JJ
dog-meat NN
dog-pin JJ
dog-powered JJ
dog-rose NN
dogcatcher NN
dogfight NN
dogged VBN
doggedly RB
doggerel NN
doggie JJ
dogging VBG
doggone JJ
doghouse NN
dogleg NN
dogma NN
dogmas NN
dogmatic JJ
dogmatically RB
dogmatism NN
dogs NNS
dogtrot NN
dogwood NN
doi FW
doin VBG
doing VBG
doings NNS
dolce FW
doldrums NNS
dole VB
doled VBD
doleful JJ
doles VBZ
doling VBG
doll NN
doll-like JJ
doll-sized JJ
dollar NN
dollar-and-cents JJ
dollar-convertible JJ
dollar-cost JJ
dollar-denominated JJ
dollar-mark NN
dollar-priced JJ
dollar-profits JJ
dollar-related JJ
dollar-sellers NNS
dollar-selling NN
dollar-sign NN
dollar-yen JJ
dollar\ JJ
dollarette JJ
dollars NNS
dollars-and-cents NNS
dollars... :
dolledup JJ
dollies NNS
dollop NN
dollops NNS
dolls NNS
dolphin NN
dolphins NNS
dolt NN
doltish JJ
domain NN
domains NNS
dome NN
domed JJ
domes NNS
domestic JJ
domestic-airline NN
domestic-credit NN
domestic-demand JJ
domestic-inflation NN
domestic-made JJ
domestic-policy JJ
domestic-production NN
domestically RB
domesticates VBZ
domesticity NN
domi FW
domicile NN
domiciled VBN
dominance NN
dominant JJ
dominantly RB
dominate VB
dominated VBN
dominates VBZ
dominating VBG
domination NN
domineering VBG
dominion NN
domino NN
dominoes NN
domponents NNS
don VB
don't VB
don't's NNS
don't-con-me JJ
don't-know's NNS
donate VB
donated VBN
donates VBZ
donating VBG
donation NN
donations NNS
done VBN
done-and CC
done-unto JJ
donkey NN
donkeys NNS
donna NN
donned VBD
donning VBG
donnybrook NN
donor NN
donors NNS
dons VBZ
dont VB
donut NN
donut-sales JJ
doo NN
dood NN
doodads NNS
doom NN
doomed VBN
dooming VBG
dooms NNS
doomsayer NN
doomsayers NNS
doomsday NN
door NN
door-frame NN
door-fronted VBN
door-to-door JJ
doorbell NN
doorkeeper NN
doorknob NN
doorman NN
doormen NNS
doors NNS
doorstep NN
doorway NN
doorways NNS
dope NN
dope-ridden JJ
doped JJ
doper NN
dorm NN
dormant JJ
dormitories NNS
dormitory NN
dosage NN
dosages NNS
dose NN
dosed VBN
doses NNS
dossier NN
dossiers NNS
dost VBP
dot NN
dot-matrix NN
doted VBN
doth VBZ
doting VBG
dots NNS
dotted VBN
dotting VBG
double JJ
double-A JJ
double-A-1 JJ
double-A-2 NN
double-A-3 JJ
double-A-minus JJ
double-A-plus JJ
double-A-rated JJ
double-A1 NN
double-A\ NNP
double-A\/single-A-plus JJ
double-B JJ
double-B-minus NN
double-B-minus\ NN
double-B-plus JJ
double-C NN
double-billing VBG
double-bladed JJ
double-bogeyed VBD
double-bolt VB
double-breasted JJ
double-checking NN
double-coupon NN
double-crossed VBD
double-crosser JJ
double-crossing NN
double-deck JJ
double-decker JJ
double-decking NN
double-digit JJ
double-edged JJ
double-entendre NN
double-glaze VB
double-glazed JJ
double-hamburger NN
double-header NN
double-helix JJ
double-jeopardy NN
double-married JJ
double-meaning NN
double-stage JJ
double-step JJ
double-talk NN
double-valued JJ
double-wall JJ
double-whammy NN
double-wing JJ
doubleA-2 JJ
doubled VBD
doubled-edged JJ
doubleheader NN
doubles NNS
doubling VBG
doubloon NN
doubly RB
doubt NN
doubte NN
doubted VBD
doubter NN
doubters NNS
doubtful JJ
doubtfully RB
doubting VBG
doubtingly RB
doubtless RB
doubtlessly RB
doubts NNS
dough NN
doughnut NN
doughty JJ
dour JJ
dourly RB
douse VB
doused VBD
dove NN
doves NNS
dovetail VBP
dovetails VBZ
dovish JJ
dowdy JJ
dowdy-looking JJ
dowel NN
doweling NN
dower NN
down RB
down-and-out JJ
down-and-outers NNS
down-down JJ
down-home JJ
down-payment NN
down-payments NNS
down-the-line JJ
down-to-earth JJ
down. RP
downbeat JJ
downcast JJ
downdraft NN
downed VBD
downer NN
downfall NN
downfall... :
downgrade NN
downgraded VBD
downgrades NNS
downgrading NN
downgradings NNS
downhill RB
downing VBG
downpayment NN
downpayments NNS
downplay VB
downplayed VBD
downplaying VBG
downplays VBZ
downpour NN
downright RB
downs NNS
downshoot NN
downside NN
downsize VB
downsized VBN
downsizing VBG
downstairs NN
downstream RB
downtalking JJ
downtime NN
downtown NN
downtrend NN
downtrodden JJ
downturn NN
downturns NNS
downward JJ
downwind RB
dowry NN
doxepin NN
dozed VBD
dozen NN
dozens NNS
dozing VBG
drab JJ
drab-haired JJ
drachma NN
drachmas NNS
draconian JJ
draft NN
draft-avoidance NN
draft-resistance NN
drafted VBN
draftee NN
draftees NNS
drafters NNS
drafting VBG
drafts NNS
draftsmen NNS
drafty JJ
drag NN
drag-down JJ
dragged VBN
dragger NN
dragging VBG
dragnet NN
dragon NN
dragons NNS
dragoon VBP
dragooned VBD
drags VBZ
drahve VB
drain NN
drainage NN
drained VBN
draining VBG
drains NNS
dram NN
drama NN
drama-filled JJ
dramas NN
dramatic JJ
dramatical JJ
dramatically RB
dramatics NNS
dramatist NN
dramatists NNS
dramatization NN
dramatizations NNS
dramatize VB
dramatized VBN
dramatizes VBZ
dramatizing VBG
drank VBD
drape NN
draped VBD
draper NN
draperies NNS
drapers NNS
drapery NN
drapes NNS
draping VBG
drastic JJ
drastically RB
draught NN
draughts NN
draughty JJ
draw VB
draw-down NN
drawback NN
drawbacks NNS
drawbridge NN
drawdown NN
drawer NN
drawers NNS
drawin VBG
drawing VBG
drawing-room NN
drawing-rooms NNS
drawings NNS
drawl NN
drawled VBD
drawling VBG
drawn VBN
drawn-back NN
drawn-out JJ
draws VBZ
dread NN
dreaded VBN
dreadful JJ
dreadfully RB
dreading VBG
dream NN
dream-ridden JJ
dreamed VBD
dreamer NN
dreamers NNS
dreamin NN
dreaming VBG
dreamless JJ
dreamlessly RB
dreamlike JJ
dreams NNS
dreamt VBD
dreamy JJ
drearier RBR
dreariness NN
dreary JJ
dredged VBD
dredges VBZ
dregs NNS
drenching NN
dress NN
dressed VBN
dresser NN
dressers NNS
dresses NNS
dressing NN
dressings NNS
dressmaking NN
dressy JJ
drew VBD
drewe VBD
drib-drool NN
dribble NN
dribbled VBD
dried VBN
dried-out JJ
dried-up JJ
drier NN
driers NNS
dries NNS
drift NN
drift-net NN
drifted VBD
drifter NN
driftin VBG
drifting VBG
driftnet NN
drifts VBZ
driftwood NN
drill NN
drill-bit NN
drilled VBN
drillers NNS
drilling NN
drills NNS
drink NN
drinkable JJ
drinker NN
drinkers NNS
drinkin VB
drinking NN
drinking-water NN
drinks NNS
drip NN
dripped VBD
dripping VBG
drips VBZ
drive NN
drive-in NN
drive-through JJ
drive-train NN
drive-yourself JJ
driven VBN
driver NN
drivers NNS
drives NNS
driveway NN
driveways NNS
driving VBG
drizzle NN
drizzling VBG
drizzly JJ
dromozoa NNS
dromozootic JJ
drone NN
drones NNS
drooled VBD
drooling VBG
droop VBP
drooped VBD
drooping VBG
droopy-eyed JJ
drop NN
drop-block NN
drop-in JJ
drop-off NN
drop-out JJ
droped VBD
droplets NNS
dropoff NN
dropoffs NNS
dropout NN
dropouts NNS
droppable JJ
dropped VBD
dropper NN
droppers NNS
dropping VBG
droppings NNS
drops VBZ
dross NN
drought NN
drought-induced JJ
drought-inspired JJ
drought-ravaged JJ
drought-related JJ
drought-seared JJ
drought-shriveled JJ
drought-stricken JJ
drought-stunted JJ
droughts NNS
drouth NN
drove VBD
drover NN
drovers NNS
droves NNS
drown VB
drowned VBN
drowning VBG
drownings NNS
drowns VBZ
drowsed VBN
drowsily RB
drowsing VBG
drowsy JJ
drubbed VBN
drubbing NN
drudgery NN
drug NN
drug-abuse JJ
drug-addled JJ
drug-approval JJ
drug-bill NN
drug-cartel JJ
drug-consuming JJ
drug-dealing JJ
drug-delivery JJ
drug-education NN
drug-enforcement JJ
drug-fighting JJ
drug-financed JJ
drug-free JJ
drug-funding NN
drug-industry NN
drug-infested JJ
drug-interdiction NN
drug-laden JJ
drug-law NN
drug-making JJ
drug-policy NN
drug-pricing NN
drug-pushing JJ
drug-related JJ
drug-sales NNS
drug-seeking JJ
drug-sensing JJ
drug-smuggling JJ
drug-store NN
drug-supply JJ
drug-testing NN
drug-traffickers NNS
drug-trafficking JJ
drug-treatment NN
drug... :
drugged VBN
druggers NNS
druggies NNS
drugging VBG
druggist NN
druggists NNS
drugless JJ
drugs NNS
drugstore NN
drugstores NNS
drugtrafficking NN
drum VB
drumbeat NN
drumbeating NN
drumlin NN
drummed VBD
drummer NN
drummers NNS
drumming VBG
drumroll NN
drums NNS
drumsticks NNS
druncke VBD
drunk JJ
drunk-and-disorderlies NNS
drunk-driving JJ
drunkard NN
drunkards NNS
drunken JJ
drunkenly RB
drunkenness NN
drunker JJR
drunks NNS
druther VB
dry JJ
dry-dock NN
dry-eyed JJ
dry-gulchin NN
dry-ice JJ
dryer NN
dryin VBG
drying VBG
dryly RB
dryness NN
drywall NN
dthat IN
du NNP
dual JJ
dual-career JJ
dual-channel JJ
dual-ladder JJ
dual-purpose JJ
dual-road-up NN
dual-trading NN
dualism NN
dualities NNS
dubbed VBN
dubious JJ
dubiously RB
dubs VBZ
duces FW
duck NN
ducked VBD
ducking VBG
duckling NN
ducklings NNS
ducks NNS
duct NN
ducts NNS
ductwork NN
dud NN
dude NN
dudgeon NN
duds NNS
due JJ
due-diligence JJ
due-process NN
duel NN
dueled VBD
dueling VBG
duels NNS
dues NNS
duet NN
duets NNS
duffel NN
duffer NN
duffers NNS
dug VBD
dugout NN
duh UH
duke NN
dulcet JJ
dull JJ
dull-gray JJ
dulled VBN
duller JJR
dullest JJS
dulling VBG
dullish JJ
dullness NN
dulls VBZ
dully RB
duly RB
dumb JJ
dumbbell NN
dumbbells NNS
dumber JJR
dumbest JJS
dumbfounded JJ
dummies NNS
dummy JJ
dump VB
dumped VBD
dumping VBG
dumps VBZ
dumpster NN
dumpsters NNS
dumpy JJ
dun NN
dune NN
dune-grass NN
dunes NNS
dung NN
dungarees NNS
dungeon NN
dungeons NNS
dunk NN
dunked VBD
dunks VBZ
dunno VBP
duo NN
duodenal JJ
duopoly RB
duped VBN
dupes VBZ
duplex NN
duplicable JJ
duplicate VB
duplicated VBN
duplicates VBZ
duplicating VBG
duplication NN
duplications NNS
duplicative JJ
duplicity NN
durability NN
durable JJ
durable-goods NNS
durables NNS
duration NN
durations NNS
duress NN
durin NN
during IN
durn JJ
dusk NN
dusky JJ
dust NN
dust-settling JJ
dust-swirling JJ
dust-thick JJ
dust-up NN
dustbin NN
dustbowl NN
dusted VBN
dustin VBG
dusting VBG
dustjacket NN
dusts NNS
dusty JJ
dusty-green JJ
dusty-slippered JJ
duties NNS
dutiful JJ
dutifully RB
duty NN
duty-free JJ
dwarf NN
dwarfed VBN
dwarfism NN
dwarfs VBZ
dwell VBP
dwelled VBN
dweller NN
dwellers NNS
dwelling NN
dwellings NNS
dwells VBZ
dwelt VBD
dwindle VB
dwindled VBD
dwindles VBZ
dwindling VBG
dwindling-sales JJ
dye NN
dyed VBN
dyed-in-the-wool JJ
dyeing NN
dyes NNS
dying VBG
dykes NNS
dynamic JJ
dynamical JJ
dynamically RB
dynamics NNS
dynamism NN
dynamite NN
dynamited VBN
dynamo NN
dynamos NNS
dynastic JJ
dynasties NNS
dynasty NN
dynodes NNS
dysentery NN
dysfunction NN
dysgenic JJ
dyslexia NN
dyspeptic JJ
dysplasia NN
dystopia NN
dystopian JJ
dystopias NNS
dystrophy NN
e NN
e-Ames NNP
e-Estimated VBN
e-In IN
e.g NN
e.g. FW
each DT
eager JJ
eagerly RB
eagerness NN
eagle NN
eagle-eyed JJ
eagles NNS
ear NN
ear-piercing JJ
ear-splitting JJ
eardrums NNS
eared JJ
earful NN
earl NN
earlier RBR
earlier-announced JJ
earlier-expressed JJ
earlier-period NN
earlier-reported JJ
earlier-than-expected JJ
earlier-the IN
earliest JJS
early JJ
early-childhood NN
early-departure NN
early-morning JJ
early-retirement NN
early-season JJ
early-warning NN
earmark VB
earmarked VBN
earmarking VBG
earn VB
earned VBD
earned-income NN
earned-run JJ
earner NN
earners NNS
earnest NN
earnestly RB
earnestness NN
earnigs NNS
earning VBG
earnings NNS
earnings-driven JJ
earnings-forecast JJ
earnings-growth NN
earnings-limit JJ
earnings-per-share JJ
earnings-related JJ
earns VBZ
earphone NN
earphones NNS
earring NN
earrings NNS
ears NNS
earsplitting JJ
earth NN
earth-bound JJ
earth-colored JJ
earth-moving JJ
earth-orbiting JJ
earth-shattering JJ
earth-tone NN
earth-touching JJ
earthbound JJ
earthenware NN
earthlings NNS
earthly JJ
earthmoving JJ
earthquake NN
earthquake-proof JJ
earthquake-ravaged JJ
earthquake-related JJ
earthquake-resistant JJ
earthquake-stricken JJ
earthquake-trained JJ
earthquake-triggered JJ
earthquake... :
earthquakes NNS
earthshaking JJ
earthworm NN
earthworms NNS
earthy JJ
earworm NN
ease VB
eased VBD
eased... :
easel NN
easement NN
easements NNS
eases VBZ
easier JJR
easier-to-read JJ
easiest JJS
easily RB
easing VBG
east JJ
east-to-west RB
east-west JJ
eastern JJ
eastward RB
easy JJ
easy-going JJ
easy-to-film JJ
easy-to-operate JJ
easy-to-reach JJ
easy-to-read JJ
easy-to-spot JJ
easy-to-turn JJ
easy-to-use JJ
easygoing JJ
eat VB
eat'em VB
eatable JJ
eatables NNS
eaten VBN
eateries NNS
eaters NNS
eatery NN
eating VBG
eatings NNS
eats VBZ
eave NN
eavesdrop VB
eavesdropping NN
ebb NN
ebb-and-flow NN
ebbed VBD
ebbing VBG
ebbs VBZ
ebony NN
ebullient JJ
ebulliently RB
eccentric JJ
eccentricities NNS
eccentricity NN
eccentrics NNS
ecclesiastical JJ
echelon NN
echelons NNS
echo NN
echoed VBD
echoes NNS
echoing VBG
eclairs NNS
eclat NN
eclectic JJ
eclectically RB
eclipse VB
eclipsed VBD
eclipses NNS
eclipsing VBG
ecliptic NN
eco-evangelists NNS
ecological JJ
ecologically RB
ecologists NNS
ecology NN
econobox NN
econometric JJ
econometrics NN
economic JJ
economic-cooperation NN
economic-crime JJ
economic-development NN
economic-efficiency NN
economic-forecasting JJ
economic-policy NN
economic-reform JJ
economic-restructuring JJ
economical JJ
economically RB
economics NNS
economies NNS
economist NN
economists NNS
economize VB
economizing VBG
economy NN
economy-lodging JJ
economy... :
ecstasy NN
ecstatic JJ
ecstatically RB
ectoplasmic JJ
ecumenical JJ
ecumenicists NNS
ecumenist NN
ecumenists NNS
ed. NN
edema NN
edematous JJ
edentulous JJ
edge NN
edged VBD
edges NNS
edgewise RB
edginess NN
edging VBG
edgy JJ
edible JJ
edict NN
edifice NN
edified VBD
edifying JJ
edit VB
edited VBN
editing NN
editing\/electronic JJ
edition NN
editions NNS
editor NN
editor-in-chief NN
editorial NN
editorial-page NN
editorialist NN
editorialists NNS
editorialize VB
editorially RB
editorials NNS
editors NNS
editorship NN
edits VBZ
ednedayose NN
educate VB
educated VBN
educating VBG
education NN
educational JJ
educationalist NN
educations NNS
educator NN
educators NNS
educrats NNS
eduction NN
ee-faket NN
eel NN
eerie JJ
eerily RB
eeriness NN
effaces VBZ
effect NN
effecte VB
effected VBN
effecting VBG
effectinge VBG
effective JJ
effectively RB
effectiveness NN
effects NNS
effectual JJ
effectuate VB
effeminate JJ
effete JJ
efficacious JJ
efficaciously RB
efficacy NN
efficiencies NNS
efficiency NN
efficient JJ
efficient-in JJ|IN
efficient-market NN
efficiently RB
effigy NN
effloresce VB
effluent NN
effluents NNS
effluvium NN
effort NN
effort... :
effortful JJ
effortless JJ
effortlessly RB
efforts NNS
effrontery NN
effusive JJ
egalitarian JJ
egalitarianism NN
egg NN
egg-breaking NN
egg-hatching JJ
egg-on-the-face JJ
egg-processing JJ
egg-sized JJ
egg-throwing JJ
egged VBN
egghead NN
eggplants NNS
eggs NNS
eggshell JJ
ego NN
ego-adaptive JJ
egocentric JJ
egos NNS
egotism NN
egotist NN
egotist... :
egotistic JJ
egotistical JJ
egregious JJ
egregiously RB
egrets NNS
eh UH
eidetic JJ
eies NNS
eight CD
eight-acre JJ
eight-and-a-half-foot JJ
eight-bar JJ
eight-bit JJ
eight-by-ten JJ
eight-cent JJ
eight-count JJ
eight-foot JJ
eight-foot-high JJ
eight-hour JJ
eight-inch JJ
eight-member JJ
eight-mile JJ
eight-mile-long JJ
eight-month JJ
eight-month-old JJ
eight-page JJ
eight-page-a-minute JJ
eight-partner JJ
eight-person JJ
eight-piece JJ
eight-team JJ
eight-thirty JJ
eight-time JJ
eight-times JJ
eight-week JJ
eight-year JJ
eight-year-old JJ
eightball NN
eighteen CD
eighteen-year-old JJ
eighteenth JJ
eighteenth-century JJ
eighth JJ
eighth-floor JJ
eighties NNS
eighty CD
eighty-fifth JJ
eighty-five CD
eighty-four CD
eighty-nine NN
eighty-one CD
eighty-sixth JJ
eighty-three CD
eighty-year-old JJ
ein FW
eine FW
either DT
either-or JJ
ejaculated VBD
eject VB
ejected VBN
ejection NN
eke VB
eked VBD
eking VBG
el-Fna NNP
elaborate VB
elaborated VBN
elaborately RB
elaborates VBZ
elaborating VBG
elaboration NN
elan NN
elapse VB
elapsed VBN
elapses VBZ
elastic JJ
elasticity NN
elastomer NN
elastomers NNS
elated JJ
elation NN
elbow NN
elbowing VBG
elbows NNS
elder JJR
elderly JJ
elders NNS
eldest JJS
elect VB
elected VBN
electing VBG
election NN
election-law NN
elections NNS
elections-an JJ
elective JJ
electives NNS
electoral JJ
electorate NN
electors NNS
electric JJ
electric-driven JJ
electric-generating NN
electric-power JJ
electric-sewer-water JJ
electric-transport NN
electric-utility JJ
electrical JJ
electrical-cable NN
electrical-engineering JJ
electrical-products NNS
electrical-safety JJ
electrically RB
electricals NNS
electrician NN
electricians NNS
electricity NN
electricity-industry NN
electrified VBN
electrifying JJ
electriques FW
electro-magnetic JJ
electro-optical JJ
electro-optics NNS
electrocardiogram NN
electrocardiograph NN
electrochemicals NNS
electrode NN
electrodes NNS
electrodynamics NNS
electrogalvanized JJ
electrogalvanizing VBG
electroluminescence NN
electrolysis NN
electrolysis-of-water JJ
electrolytic JJ
electromagnet NN
electromagnetic-test NN
electromagnetism NN
electromagnets NNS
electromechanical JJ
electron NN
electron-device NN
electronic JJ
electronic-bomb NN
electronic-communications NNS
electronic-data JJ
electronic-defense NN
electronic-information NN
electronic-measuring JJ
electronic-publishing JJ
electronic-quote NN
electronic-systems NNS
electronic-test JJ
electronic-trading JJ
electronic-transaction JJ
electronic-warfare NN
electronically RB
electronicmedical-equipment JJ
electronics NNS
electronics-distribution NN
electronics-instruments JJ
electronics-product NN
electronography NN
electrons NNS
electrophoresis NN
electrophorus NN
electroplated VBN
electroplating NN
electroreality NN
electroshock NN
electroshocks NNS
electrostatic JJ
electrosurgical JJ
electrotherapist NN
elects VBZ
elegance NN
elegances NNS
elegant JJ
elegantly RB
elegiac JJ
elegy NN
element NN
elemental JJ
elementary JJ
elementary-grade JJ
elementary-school JJ
elements NNS
elephant NN
elephant-like JJ
elephantine JJ
elephants NNS
elevate VB
elevated VBN
elevates VBZ
elevating VBG
elevation NN
elevations NNS
elevator NN
elevators NNS
eleven CD
eleventh JJ
eleventh-floor JJ
eleventh-hour JJ
elfin JJ
elicit VB
elicited VBN
elicits VBZ
elide VBP
eligibility NN
eligible JJ
eliminate VB
eliminated VBN
eliminates VBZ
eliminating VBG
elimination NN
eliminations NNS
elite NN
elites NNS
elitist JJ
elitists NNS
elixir NN
elk NNS
ell NN
ellipses NNS
ellipsis NN
ellipsoid NN
ellipsoids NNS
elliptical JJ
elm NN
elms NNS
elongate VB
elongated VBN
elongation NN
eloped VBD
eloquence NN
eloquent JJ
eloquently RB
else RB
elsewhere RB
elswehere NN
eluate NN
eluates NNS
elucidated VBN
elucidation NN
elucidations NNS
elucidative JJ
eluded VBD
eludes VBZ
eluding VBG
elusive JJ
elusiveness NN
eluted VBN
elution NN
em PRP
emaciated VBN
email NN
emanated VBD
emanating VBG
emanation NN
emanations NNS
emancipate VB
emancipated VBN
emancipation NN
emasculate VB
emasculated VBD
emasculation NN
embalmers NNS
embalming NN
embankment NN
embargo NN
embargoed JJ
embargoes NNS
embargos NNS
embark VB
embarked VBD
embarking VBG
embarks VBZ
embarrass VB
embarrassed VBN
embarrassing JJ
embarrassingly RB
embarrassment NN
embarrassments NNS
embassies NNS
embassy NN
embattled JJ
embedded VBN
embellish VB
embellished VBN
embezzle VB
embezzled VBD
embezzlement NN
embezzler NN
embezzling VBG
embittered VBN
emblazoned VBN
emblem NN
emblematic JJ
emblems NNS
embodied VBN
embodies VBZ
embodiment NN
embodiments NNS
embody VBP
embodying VBG
emboldened VBN
embolisms NNS
embossed VBD
embouchure NN
embrace VB
embraced VBN
embraces VBZ
embracing VBG
embroider VBP
embroidered VBN
embroideries NNS
embroidery NN
embroiled VBN
embryo NN
embryonic JJ
embryos NNS
emcee NN
emerald JJ
emeralds NNS
emerge VB
emerged VBD
emergence NN
emergencies NNS
emergency NN
emergency-cash NN
emergency-claims NNS
emergency-medical JJ
emergency-relief NN
emergency-room NN
emergency. NN
emergent JJ
emerges VBZ
emerging VBG
emerging-growth NN
emeriti FW
emeritus NN
emigrants NNS
emigrate VB
emigrated VBD
emigrating VBG
emigration NN
emigration-related JJ
emigrations NNS
emigre NN
emigres NNS
eminence NN
eminences NNS
eminent JJ
eminently RB
emissaries NNS
emissary NN
emission NN
emission-control JJ
emissions NNS
emit VB
emits VBZ
emitted VBN
emitting VBG
emote VB
emoted VBD
emotion NN
emotional JJ
emotionalism NN
emotionality NN
emotionally RB
emotions NNS
empathetic JJ
empathize VB
empathy NN
emperor NN
emperors NNS
emphases NNS
emphasis NN
emphasize VB
emphasized VBD
